date,spot_foreign_net,spot_trust_net,spot_dealer_self_net,spot_dealer_hedge_net,spot_total_net,spot_dealer_net,fut_dealer_deal_net,fut_dealer_oi_net,fut_dealer_oi_long,fut_dealer_oi_short,fut_trust_deal_net,fut_trust_oi_net,fut_trust_oi_long,fut_trust_oi_short,fut_foreign_deal_net,fut_foreign_oi_net,fut_foreign_oi_long,fut_foreign_oi_short,opt_dealer_call_oi_net,opt_dealer_call_deal_net,opt_dealer_call_oi_long,opt_dealer_call_oi_short,opt_trust_call_oi_net,opt_trust_call_deal_net,opt_trust_call_oi_long,opt_trust_call_oi_short,opt_foreign_call_oi_net,opt_foreign_call_deal_net,opt_foreign_call_oi_long,opt_foreign_call_oi_short,opt_dealer_put_oi_net,opt_dealer_put_deal_net,opt_dealer_put_oi_long,opt_dealer_put_oi_short,opt_trust_put_oi_net,opt_trust_put_deal_net,opt_trust_put_oi_long,opt_trust_put_oi_short,opt_foreign_put_oi_net,opt_foreign_put_deal_net,opt_foreign_put_oi_long,opt_foreign_put_oi_short,opt_foreign_pcr,spot_foreign_net_5d,spot_trust_net_5d,spot_dealer_net_5d,spot_total_net_5d,fut_foreign_oi_chg,chip_label,chip_bias
2025-08-13,70.36580411,-15.02399863,-0.46578231,29.23632293,84.1123461,28.77054062,-613.0,3168.0,7490.0,4322.0,-538.0,29334.0,38802.0,9468.0,1554.0,-33570.0,22724.0,56294.0,17020.0,-2286.0,41882.0,24862.0,-40.0,0.0,0.0,40.0,8695.0,-1113.0,23464.0,14769.0,12859.0,-16238.0,43560.0,30701.0,80.0,0.0,80.0,0.0,-10511.0,-2352.0,13097.0,23608.0,0.5581742243436754,70.36580411,-15.02399863,28.77054062,84.1123461,,偏多｜外資現貨大買；選擇權 PCR 偏低≤0.88（≈P20）,1
2025-08-14,-44.60109509,-20.45083709,14.50404712,24.33779668,-26.21008838,38.8418438,945.0,4136.0,7748.0,3612.0,-706.0,28628.0,38098.0,9470.0,-679.0,-34379.0,21900.0,56279.0,13527.0,-3493.0,46362.0,32835.0,-40.0,0.0,0.0,40.0,8252.0,-443.0,24955.0,16703.0,17109.0,4250.0,54938.0,37829.0,159.0,79.0,159.0,0.0,-9097.0,1414.0,16060.0,25157.0,0.6435584051292326,25.764709019999998,-35.47483572,67.61238442,57.902257719999994,-809.0,偏空｜投信賣超；選擇權 PCR 偏低≤0.88（≈P20）,-1
2025-08-15,53.73846115,-33.56859132,18.67986315,7.07080356,45.92053654,25.75066671,206.0,4353.0,7991.0,3638.0,-2990.0,25638.0,34690.0,9052.0,145.0,-34207.0,20968.0,55175.0,10096.0,-10826.0,39427.0,29331.0,-40.0,0.0,0.0,40.0,8672.0,621.0,25384.0,16712.0,15031.0,-8463.0,48113.0,33082.0,159.0,0.0,159.0,0.0,-9466.0,-828.0,16327.0,25793.0,0.6432004412228175,79.50317017,-69.04342704000001,93.36305113,103.82279426,172.0,偏多｜外資現貨大買；投信賣超；選擇權 PCR 偏低≤0.88（≈P20）,1
2025-08-18,46.38950093,17.31672993,9.85643242,-9.77775276,63.78491052,0.07867966,-833.0,3397.0,7404.0,4007.0,-18.0,25620.0,34564.0,8944.0,4421.0,-29626.0,26199.0,55825.0,10959.0,863.0,41870.0,30911.0,-40.0,0.0,0.0,40.0,8559.0,-113.0,26824.0,18265.0,10077.0,-4954.0,50908.0,40831.0,159.0,0.0,159.0,0.0,-8840.0,626.0,19164.0,28004.0,0.7144348344765882,125.8926711,-51.72669711,93.44173079,167.60770478,4581.0,偏多｜外資期貨淨多增；選擇權 PCR 偏低≤0.88（≈P20）,1
2025-08-19,-110.07665546,-16.42414216,-16.93738617,-44.15298242,-187.59116621,-61.09036859,868.0,4331.0,8365.0,4034.0,-444.0,25176.0,34198.0,9022.0,-2794.0,-32633.0,27019.0,59652.0,3501.0,-7458.0,44676.0,41175.0,-40.0,0.0,0.0,40.0,8115.0,-444.0,27057.0,18942.0,11479.0,1402.0,57279.0,45800.0,199.0,40.0,199.0,0.0,-7074.0,1766.0,21050.0,28124.0,0.7779872121816905,15.81601563999999,-68.15083927,32.351362200000004,-19.983461430000034,-3007.0,偏空確認｜外資現貨大賣；外資期貨淨空增；選擇權 PCR 偏低≤0.88（≈P20）,-2
2025-08-20,-626.68571933,-27.34736666,19.15367105,-55.40196143,-690.28137637,-36.24829038,2082.0,6099.0,9367.0,3268.0,-1426.0,23750.0,33256.0,9506.0,-4201.0,-35143.0,17105.0,52248.0,322.0,-31600.0,27026.0,26704.0,0.0,0.0,0.0,0.0,2617.0,-5967.0,7598.0,4981.0,2194.0,1913.0,25564.0,23370.0,0.0,-79.0,0.0,0.0,1090.0,845.0,8120.0,7030.0,1.0687022900763359,-681.2355078,-80.4742073,-32.667468799999995,-794.3771839,-2510.0,偏空確認｜外資現貨大賣；外資期貨淨空增；投信賣超,-2
2025-08-21,-100.78910548,16.04056355,10.99230232,13.07298361,-60.683256,24.06528593,-1106.0,4884.0,8640.0,3756.0,-139.0,23611.0,32923.0,9312.0,4609.0,-30387.0,19173.0,49560.0,3517.0,3195.0,33554.0,30037.0,-40.0,-40.0,0.0,40.0,4258.0,1641.0,12325.0,8067.0,2012.0,-182.0,35023.0,33011.0,40.0,40.0,40.0,0.0,-742.0,-1832.0,11577.0,12319.0,0.9393103448275862,-737.4235181900001,-43.982806659999994,-47.444026669999985,-828.85035152,4756.0,中性／雜訊｜外資現貨大賣；外資期貨淨多增；現貨賣／期貨多→可能回補或對沖,0
2025-08-22,-163.97993687,-11.63084639,-5.73635339,-4.53809804,-185.88523469,-10.27445143,-1309.0,3504.0,7778.0,4274.0,-406.0,23205.0,32582.0,9377.0,3637.0,-26735.0,21716.0,48451.0,7185.0,-10338.0,27603.0,20418.0,-40.0,0.0,0.0,40.0,4906.0,595.0,12210.0,7304.0,-2712.0,-7534.0,28673.0,31385.0,40.0,0.0,40.0,0.0,-510.0,294.0,10697.0,11207.0,0.8760851760851761,-955.1419162100001,-22.045061729999993,-83.46914480999999,-1060.6561227500001,3652.0,中性／雜訊｜外資現貨大賣；外資期貨淨多增；現貨賣／期貨多→可能回補或對沖,0
2025-08-25,241.14791914,32.3160625,13.84604238,43.49395688,330.8039809,57.33999926,285.0,3789.0,7815.0,4026.0,306.0,23511.0,32658.0,9147.0,-556.0,-25609.0,21711.0,47320.0,6889.0,-296.0,32445.0,25556.0,-40.0,0.0,0.0,40.0,5500.0,594.0,14889.0,9389.0,1688.0,4400.0,35915.0,34227.0,40.0,0.0,40.0,0.0,-2521.0,-2011.0,12158.0,14679.0,0.8165759957015246,-760.3834980000001,-7.045729159999993,-26.207825209999996,-793.6370523700001,1126.0,偏多確認｜外資現貨大買；投信買超；選擇權 PCR 偏低≤0.88（≈P20）,2
2025-08-26,-145.08100864,-24.25226828,3.35292654,29.88533201,-136.09501837,33.23825855,966.0,4754.0,8257.0,3503.0,-365.0,23146.0,32292.0,9146.0,-1423.0,-27132.0,20592.0,47724.0,4716.0,-2173.0,37506.0,32790.0,-40.0,0.0,0.0,40.0,3532.0,-1968.0,15502.0,11970.0,3435.0,1747.0,39205.0,35770.0,40.0,0.0,40.0,0.0,-170.0,2351.0,15853.0,16023.0,1.022642239711005,-795.3878511800001,-14.873855279999994,68.12080193,-742.14090453,-1523.0,偏空確認｜外資現貨大賣；外資期貨淨空增；投信賣超,-2
2025-08-27,-19.47570889,-16.47591422,28.1525936,82.49447023,74.69544072,110.64706383,-1693.0,3106.0,7365.0,4259.0,16.0,23162.0,32122.0,8960.0,2196.0,-24771.0,22813.0,47584.0,6132.0,6267.0,25552.0,19420.0,-40.0,0.0,0.0,40.0,4062.0,1922.0,11210.0,7148.0,2793.0,-25470.0,29148.0,26355.0,40.0,0.0,40.0,0.0,-656.0,-1880.0,10038.0,10694.0,0.895450490633363,-188.1778407400001,-4.002402839999995,215.01615614,22.83591255999997,2361.0,偏多｜外資期貨淨多增；現貨賣／期貨多→可能回補或對沖,1
2025-08-28,-95.20531049,-27.60035692,-2.37115928,-11.11771071,-136.2945374,-13.48886999,1928.0,5034.0,8505.0,3471.0,-446.0,22716.0,31805.0,9089.0,-1217.0,-26087.0,21168.0,47255.0,6032.0,-100.0,34357.0,28325.0,-40.0,0.0,0.0,40.0,2689.0,-1373.0,12852.0,10163.0,6537.0,3744.0,39453.0,32916.0,40.0,0.0,40.0,0.0,1022.0,1678.0,14413.0,13391.0,1.1214596949891067,-182.59404575000013,-47.64332331,177.46200022,-52.77536884000003,-1316.0,偏空確認｜外資現貨大賣；投信賣超,-2
