date,up,down,unchanged,limit_up,limit_down,ad_ratio,breadth_pct
2024-11-15,672,262,83,5,2,0.7194860813704497,66.07669616519173
2024-11-18,286,661,71,5,2,0.3020063357972545,28.094302554027507
2024-11-19,781,170,71,14,2,0.8212407991587802,76.4187866927593
2024-11-21,544,370,104,8,2,0.5951859956236324,53.43811394891945
2024-11-22,669,262,87,14,1,0.7185821697099892,65.71709233791748
2024-11-25,791,165,65,14,2,0.8274058577405857,77.47306562193927
2024-11-26,304,627,93,4,0,0.3265306122448979,29.6875
2024-11-27,94,887,42,4,1,0.0958205912334352,9.188660801564028
2024-11-28,221,720,76,1,4,0.234856535600425,21.730580137659786
2024-11-29,616,290,113,10,0,0.6799116997792495,60.45142296368989
2024-12-02,458,478,85,8,0,0.4893162393162393,44.85798237022527
2024-12-03,675,256,91,7,0,0.7250268528464017,66.04696673189824
2024-12-04,561,357,100,14,0,0.6111111111111112,55.10805500982319
2024-12-05,318,611,87,16,1,0.3423035522066738,31.299212598425196
2024-12-06,475,427,118,15,2,0.5266075388026608,46.568627450980394
2024-12-09,283,654,82,7,3,0.3020277481323372,27.77232580961727
2024-12-10,325,612,83,1,4,0.3468516542155816,31.862745098039213
2024-12-11,306,623,94,9,2,0.3293864370290635,29.91202346041056
2024-12-12,339,567,116,7,2,0.3741721854304636,33.17025440313112
2024-12-13,151,819,52,1,3,0.1556701030927835,14.77495107632094
2024-12-16,180,785,57,4,4,0.1865284974093264,17.61252446183953
2024-12-17,568,373,82,19,1,0.6036131774707758,55.5229716520039
2024-12-19,214,750,59,6,2,0.2219917012448132,20.9188660801564
2024-12-20,243,703,84,8,4,0.2568710359408034,23.59223300970874
2024-12-23,828,150,52,12,1,0.8466257668711656,80.3883495145631
2024-12-24,462,460,107,13,0,0.5010845986984815,44.89795918367347
2024-12-25,623,289,117,12,0,0.6831140350877193,60.544217687074834
2024-12-26,478,415,130,12,0,0.5352743561030235,46.72531769305962
2024-12-27,306,605,112,7,2,0.3358946212952799,29.91202346041056
2024-12-30,304,639,83,8,0,0.3223753976670201,29.629629629629623
2024-12-31,372,584,73,4,1,0.3891213389121339,36.15160349854227
2025-01-02,315,621,94,10,0,0.3365384615384615,30.582524271844655
2025-01-03,277,653,99,8,1,0.2978494623655914,26.91933916423712
2025-01-06,741,202,85,12,0,0.7857900318133616,72.08171206225681
2025-01-07,274,696,61,4,1,0.2824742268041237,26.576139670223085
2025-01-08,466,449,111,6,0,0.5092896174863388,45.419103313840154
2025-01-09,132,851,42,4,3,0.1342828077314344,12.878048780487806
2025-01-10,324,608,96,5,2,0.3476394849785407,31.517509727626457
2025-01-13,140,846,43,0,11,0.1419878296146044,13.60544217687075
2025-01-14,792,159,77,7,0,0.832807570977918,77.04280155642024
2025-01-16,755,177,99,10,0,0.8100858369098712,73.22987390882638
2025-01-17,450,471,110,7,0,0.4885993485342019,43.64694471387003
2025-01-20,646,301,82,7,0,0.6821541710665259,62.779397473275026
2025-01-21,451,428,144,3,0,0.5130830489192264,44.086021505376344
2025-01-22,699,227,96,7,0,0.7548596112311015,68.39530332681018
2025-02-03,310,659,59,4,21,0.3199174406604747,30.155642023346303
2025-02-04,370,574,86,8,5,0.3919491525423729,35.92233009708738
2025-02-05,845,110,75,17,0,0.8848167539267016,82.03883495145631
2025-02-06,747,203,76,7,0,0.7863157894736842,72.80701754385966
2025-02-07,504,415,103,10,0,0.5484221980413493,49.31506849315068
2025-02-10,410,529,89,13,0,0.4366347177848775,39.88326848249027
2025-02-11,432,492,103,19,0,0.4675324675324675,42.06426484907498
